"Göscheneralp, Dammagletscher"
"Klosters, Monbiel Parkplatz"
"Serpiano, Albergo"
"Chancy, douane"
"S-charl"
"S. Carlo (Bavona), Ponte"
"Chavannes-de-Bogis, douane"
"Davos Dischma, Dürrboden"
"Flumserberg, Oberberg"
"Sedrun"
"Lelgio, Paese"
"Ermatingen"
"Innerthal, Post"
"Rossa, Villaggio"
"La Cure"
"Klöntal, Richisau"
"Leontica, Chiesa"
"Gletsch, Post"
"Davos Dorf, Alpenrose"
"Unterwasser, Post"
"Umbrail, Schweizer Zoll"
"Kemmeriboden"
"Runcahez Val Sumvitg"
"Bargen SH, Dorf"
"Samnaun-Dorf, Musella"
"Thalkirch, Turrahus"
"Schwanden (Sigriswil), Säge"
"Cry-d'Er (Crans-s.-S.)"
"Griesalp, Kurhaus"
"Isone, Piazzale"
"Arbon"
"Jussy, Monniaz-Hameau"
"Schwarzsee, Bad"
"St-Gingolph (Suisse)"
"Mürren (Schilthornbahn)"
"Zwischbergen, Bord"
"Carena"
"Cimalmotto"
"Müstair, cunfin"
"Hoch-Ybrig Seebli"
"Vrin, Puzzatsch"
"Spruga"
"Scaiano, Paese"
"Fürenalp"
"Etzgen, Schulhaus"
"Bad Zurzach"
"Binn, Brunnebiel"
"Ferret"
"Les Brenets, Parc des Pargots"
"Sertig, Sand"
"Sahli (Luftseilbahn Glattalp)"
"Les Verrières, douane"
"Barzheim, Dorf"
"Col-de-la-Croix"
"Rheinfelden, Untere Marktgasse"
"Chironico, Grumo"
"Piano di Peccia"
"Mettlenalp (Napf)"
"Nufenen Passhöhe"
"Campascio"
"Stein AG, Coop"
"Predelp"
"Splügenpass, ital. Zoll"
"Moiry VS, glacier"
"Avers, Juf"
"Indemini, Paese"
"Vergeletto, Funivia Salei"
"St. Antönien, Gafia Edelweiss"
"Derborence"
"Steckborn"
"Mauvoisin"
"Fafleralp"
"Diepoldsau, SchweizerZoll"
"Morcote, Parco Scherrer"
"Camedo"
"Ferpècle"
"Malbun, Zentrum"
"Kreuzlingen, Bahnhof"
"Miex, Le Flon"
"Roggenburg, Neumühle"
"Oberiberg, Wandli"
"Le Brassus, Bas-du-Chenit"
"L'Auberson, La Grand'Borne"
"Champéry"
"Arolla, poste"
"Schuders"
"St. Antönien, PartnunAlpenrösli"
"Stein am Rhein, Bahnhof"
"Cozzo, Paese"
"Habkern, Steinacker"
"Wil ZH, Lirenhof"
"Le Grand-St-Bernard, Hospice"
"Morgins, garage communal"
"Gandria, Dogana"
"Engstligenalp"
"Mattmark"
"Finsterwald LU, Gründli"
"Riehen, Grenze"
"S. Bernardino, Ospizio"
"Les Plans-sur-Bex, village"
"Fusio, Paese"
"Walenstadtberg, Reha-Klinik"
"Alp Camp"
"Daubensee"
"Solalex"
"Castasegna, Vecchia Dogana"
"Boncourt, poste"
"Lenk, Simmenfälle"
"Lenk, Iffigenalp"
"Gitschenen"
"Münsterlingen Spital"
"Mayens-de-Chamoson, Chapelle"
"Torgon, La Cheurgne"
"Veyrier, douane"
"Brusino Arsizio, Confine"
"Le Châtelard VS, Frontière"
"Landecy, La Mûre"
"Susten Passhöhe"
"Lukmanier Passhöhe"
"Arogno, Paese"
"Grindelwald, Abzw. Gleckstein"
"Buch SH, Dorf"
"Chiasso"
"Vals, Zervreila"
"Jungfraujoch"
"Savièse, Senin"
"Goumois, douane"
"Furka Passhöhe"
"Soazza, Boffalora"
"Im Fang, Dorf"
"Trient, Le Peuty"
"Anzère, Barrage de Tseuzier"
"Sigirino, Piazza"
"Bosco/Gurin, Paese"
"Brunni SZ (Talstation Holzegg)"
"Selden, Hotel Gasterntal"
"Fornasette, Dogana Svizzera"
"Le Creux VD"
"Obererbs, Skihütte"
"Brissago, Co' di Campo"
"Sörenberg, Schwändili"
"Roncapiano, Paese"
"Damvant, église"
"Lauenensee"
